# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw c_wallTemp c_wallPE
5666000 243.876 -163980 11785.5 234.929 -384934
5667000 244.418 -164041 12037.2 234.702 -384914
5668000 244.793 -164089 12301.7 233.71 -384896
5669000 245.93 -164113 12604.6 231.678 -384921
5670000 244.255 -164050 12813.8 234.179 -384947
5671000 244.231 -164084 13122.5 235.313 -384940
5672000 243.822 -164107 13339.1 234.547 -384921
5673000 242.9 -164094 13502.4 238.21 -384947
5674000 243.363 -164133 13546.8 235.137 -384900
5675000 243.6 -164135 13620.2 234.335 -384934
5676000 241.198 -164014 13450.3 236.221 -384948
5677000 244.014 -164153 13509.8 236.883 -384953
5678000 244.089 -164146 13297.6 232.223 -384916
5679000 243.074 -164119 13075.7 234.837 -384917
5680000 241.555 -164035 12728.4 232.89 -384924
5681000 242.527 -164097 12503 235.856 -384946
5682000 242.37 -164063 12233.6 235.593 -384960
5683000 241.175 -164001 11876.4 233.281 -384926
5684000 242.545 -164055 11706.9 236.585 -384955
5685000 242.584 -164053 11494.8 231.98 -384910
5686000 242.776 -164087 11370.6 232.849 -384908
5687000 241.488 -164022 11235.5 233.037 -384936
5688000 242.133 -164037 11266.1 234.59 -384962
5689000 241.749 -164048 11309.4 232.494 -384911
5690000 242.435 -164122 11459.7 235.712 -384920
5691000 241.368 -164081 11610.4 237.071 -384959
5692000 240.278 -164001 11838 232.413 -384955
5693000 240.735 -164068 12142.2 233.38 -384934
5694000 240.788 -164088 12413.6 232.799 -384923
5695000 238.983 -164023 12583.4 232.994 -384916
5696000 241.691 -164103 12902.1 232.762 -384946
5697000 238.684 -164006 12967.8 232.128 -384912
5698000 240.627 -164071 13206 230.324 -384912
5699000 240.012 -164057 13373.1 233.467 -384936
5700000 239.789 -164069 13425.9 234.804 -384934
5701000 237.539 -163983 13353.5 231.308 -384882
5702000 239.466 -164053 13367.8 236.738 -384954
5703000 241.686 -164156 13282.4 236.718 -384940
5704000 240.513 -164102 12978.2 236.251 -384934
5705000 241.004 -164073 12732.4 234.268 -384950
5706000 244.112 -164255 12573.7 235.415 -384916
5707000 242.222 -164190 12209.7 232.876 -384882
5708000 242.028 -164158 11939.5 231.206 -384897
5709000 241.732 -164111 11687.1 235.661 -384959
5710000 238.049 -163936 11324.4 237.277 -384946
5711000 238.969 -163998 11212.7 234.829 -384908
5712000 242.568 -164119 11290.6 235.956 -384938
5713000 243.655 -164171 11336.9 234.018 -384918
5714000 239.778 -163980 11216.1 234.63 -384935
5715000 241.764 -164099 11463.6 232.15 -384889
5716000 242.079 -164150 11708.4 232.265 -384891
5717000 243.126 -164189 11972.8 233.175 -384925
5718000 242.802 -164192 12243.6 237.11 -384955
5719000 242.824 -164180 12498.3 232.142 -384921
5720000 244.352 -164273 12825.8 235.315 -384923
5721000 242.223 -164187 12963.8 232.754 -384896
5722000 243.448 -164279 13219.9 237.032 -384926
5723000 242.821 -164255 13407.8 235.637 -384942
5724000 241.569 -164220 13540.5 232.978 -384902
5725000 241.931 -164277 13633.1 233.7 -384907
5726000 243.992 -164361 13584.5 233.534 -384925
5727000 244.464 -164405 13580.8 235.865 -384927
5728000 240.156 -164190 13168.9 236.159 -384949
5729000 239.194 -164185 12925.4 239.113 -384950
5730000 241.883 -164271 12820.2 230.022 -384920
5731000 243.908 -164349 12562.6 235.444 -384961
5732000 242.296 -164242 12170.4 231.925 -384938
5733000 240.919 -164176 11853.7 234.679 -384956
5734000 238.467 -164048 11496.7 231.552 -384937
5735000 239.863 -164129 11374.3 235.276 -384939
5736000 240.734 -164169 11286.2 233.626 -384932
5737000 241.411 -164197 11243.6 237.486 -384959
5738000 241.238 -164180 11220.2 233.316 -384918
5739000 240.925 -164157 11273.3 234.395 -384933
5740000 241.778 -164236 11462.5 236.403 -384952
5741000 238.874 -164111 11541.9 233.963 -384922
5742000 238.11 -164092 11729.9 235.336 -384947
5743000 238.837 -164170 12070.4 234.285 -384927
5744000 238.275 -164145 12241.3 236.332 -384938
5745000 239.407 -164262 12540.2 235.331 -384893
5746000 238.115 -164202 12753.7 230.686 -384880
5747000 239.943 -164286 13093.5 235.33 -384939
5748000 238.81 -164238 13245.8 233.313 -384918
