y, z, Average_Vx, Average_Vy, Average_Vz, AtomCount
42.3626 2.49933 0.000932422 -0.00152161 0.00127058 8.0281
43.3593 2.49933 0.000180088 -0.000499195 0.000604191 6.52283
44.3561 2.49933 7.91022e-05 0.000486226 -0.000928029 11.5404
45.3529 2.49933 0.000485332 -0.000668 1.45568e-05 27.0948
46.3496 2.49933 -0.00207961 -0.00166868 -0.000359578 16.0562
47.3464 2.49933 0.000305345 0.00155925 -0.000882726 9.53337
48.3432 2.49933 -0.00110618 -0.000300142 0.000214504 26.0913
49.3399 2.49933 0.00012538 0.000892746 -0.00123265 11.0386
50.3367 2.49933 -0.000944841 -0.000239595 -0.000859145 7.52634
51.3335 2.49933 0.00202384 0.00112301 0.000429357 8.0281
52.3302 2.49933 -0.000852037 0.00153073 0.000416784 10.5369
53.327 2.49933 -0.00161845 0.000419472 -0.0006077 19.5685
54.3238 2.49933 -0.00130894 0.000731994 -0.000178005 18.0632
55.3205 2.49933 0.000734236 -0.000749488 0.000745369 15.0527
56.3173 2.49933 -0.000294975 0.000324449 -0.000412016 20.572
57.3141 2.49933 -0.00151706 -7.49986e-05 0.000630695 18.0632
58.3108 2.49933 5.03788e-05 -0.00130686 -0.000262699 8.52986
59.3076 2.49933 -0.000952492 0.00147666 -0.000813233 5.01756
60.3044 2.49933 -0.00125215 -0.000178026 -0.000989424 9.53337
61.3011 2.49933 9.49827e-05 -0.00017893 0.000551053 16.0562
62.2979 2.49933 -0.000399025 -0.000559193 -0.000350487 21.5755
63.2947 2.49933 -0.000975014 -0.000501112 -0.000847339 14.0492
64.2914 2.49933 0.000552608 -0.000668487 -0.000175016 19.5685
65.2882 2.49933 -0.000673482 0.000363331 -0.000731295 18.565
66.285 2.49933 0.000217819 -0.000744967 -0.000576601 9.53337
67.2817 2.49933 0.00128299 0.00161073 -0.00234828 6.52283
68.2785 2.49933 -0.00203811 -0.000789566 -0.000674271 5.01756
69.2753 2.49933 0.0013265 0.00156233 0.00071904 11.0386
70.272 2.49933 -0.000190167 -0.000465267 0.000207772 27.0948
71.2688 2.49933 -2.60705e-05 0.000363038 -0.000221412 14.0492
72.2656 2.49933 0.000302845 -0.00107847 0.000156699 14.5509
73.2623 2.49933 -0.000584727 -0.000238285 -0.000132634 24.5861
74.2591 2.49933 -0.00211132 -0.00109121 0.000243988 7.52634
75.2559 2.49933 -0.00113276 -0.000380879 0.000916487 8.0281
76.2526 2.49933 -0.000615244 -0.00136978 0.00145842 4.51581
77.2494 2.49933 0.000473546 0.000401387 0.00152062 10.0351
78.2462 2.49933 0.000586196 0.00053859 0.00044306 19.5685
79.2429 2.49933 0.000660037 2.31495e-05 -0.000656372 16.558
80.2397 2.49933 0.000601148 -0.000541605 0.000638946 10.5369
81.2365 2.49933 2.17535e-05 0.000546032 0.000484585 24.5861
82.2332 2.49933 0.000392714 0.000640544 -0.000501333 10.5369
0.498383 3.49906 -0.000751013 0.00089333 -0.00152221 8.52986
1.49515 3.49906 0.000184222 -0.000334612 0.0001053 6.02108
2.49192 3.49906 -0.000403253 -0.000217184 0.000252256 6.52283
3.48868 3.49906 0.00103949 0.000235058 -1.99981e-05 15.0527
4.48545 3.49906 1.1905e-05 -0.000434437 -0.000861926 11.0386
5.48221 3.49906 -0.00139694 0.000363931 -0.000832452 7.52634
6.47898 3.49906 -0.000613785 0.00134899 -0.000426308 10.5369
7.47575 3.49906 0.00126874 -0.000187536 0.000751192 10.0351
8.47251 3.49906 -0.000942744 -0.000607826 0.00181114 9.53337
