y, z, Average_Vx, Average_Vy, Average_Vz, AtomCount
48.3432 2.49933 -0.000118849 -0.000567131 0.000278425 24.5861
49.3399 2.49933 0.000149203 0.000168873 1.58866e-06 10.5369
50.3367 2.49933 -0.000692556 -0.00105757 -0.00105829 5.51932
51.3335 2.49933 -0.00173736 -0.000339595 -0.000269582 6.52283
52.3302 2.49933 -0.00049724 0.000317783 -8.85775e-05 9.53337
53.327 2.49933 0.000109309 -0.000169126 8.70842e-05 20.0703
54.3238 2.49933 -5.86536e-05 0.000429562 0.000560195 18.565
55.3205 2.49933 -0.000399738 -0.000235333 -0.000827796 13.5474
56.3173 2.49933 -0.000218157 -5.07488e-05 -0.000482876 22.579
57.3141 2.49933 -0.000226805 0.000610696 0.000158774 17.0597
58.3108 2.49933 0.00117183 -0.000133765 -0.000573086 10.5369
59.3076 2.49933 0.000410694 0.000620561 -0.00123857 7.02459
60.3044 2.49933 -0.000992313 0.000670937 -0.000656184 7.52634
61.3011 2.49933 0.000749924 -0.000295089 0.000808076 14.0492
62.2979 2.49933 0.00117217 -0.000403968 7.39009e-05 19.5685
63.2947 2.49933 -0.000424347 0.00010098 -0.000145217 11.0386
64.2914 2.49933 0.000826095 5.92315e-05 0.00020915 24.5861
65.2882 2.49933 0.000738242 -0.000733036 -3.74185e-05 18.565
66.285 2.49933 -0.000617382 0.00134138 -0.00110111 12.0422
67.2817 2.49933 0.000489563 -0.000138643 0.000117488 7.02459
68.2785 2.49933 0.000507029 0.00252832 -0.000522347 6.52283
69.2753 2.49933 0.000803532 -0.000206057 0.000965093 16.0562
70.272 2.49933 0.000367231 0.000340657 -0.000533824 18.0632
71.2688 2.49933 -0.000127654 0.000442805 -0.000443373 12.0422
72.2656 2.49933 -9.69169e-05 0.00126559 -0.000649293 16.558
73.2623 2.49933 0.000518524 0.000538539 0.000413197 20.572
74.2591 2.49933 0.000775001 -0.000659684 0.00120329 10.0351
75.2559 2.49933 -0.000607257 -0.0019197 -0.000657067 5.51932
76.2526 2.49933 -8.13018e-05 0.000283877 -0.00154081 9.53337
77.2494 2.49933 0.000843347 0.000219678 0.000281195 11.5404
78.2462 2.49933 -0.000351071 -0.000130348 0.000760589 14.0492
79.2429 2.49933 4.03283e-05 -0.000627317 -0.00083025 11.5404
80.2397 2.49933 -5.68975e-05 0.000712541 -2.26734e-06 14.5509
