# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw v_locF v_locFUP c_wallTemp c_wallPE c_UPwallTemp c_UPwallPE
18420200 220.485 -627839 38832.9 1.94583 -8.2703 216.79 -1.19187e+06 220.512 -1.19051e+06
18420300 220.385 -627717 38815.2 184.199 130.979 222.077 -1.19195e+06 217.665 -1.19055e+06
18420400 221.094 -627873 38940.1 46.3186 -35.0253 219.696 -1.19194e+06 218.546 -1.19051e+06
18420500 220.655 -627812 38862.7 120.734 -154.632 218.853 -1.19192e+06 219.982 -1.19052e+06
18420600 220.448 -627767 38826.2 -224.482 125.663 223.075 -1.19191e+06 220.812 -1.19058e+06
18420700 220.649 -627798 38861.7 -122.411 -158.673 221.489 -1.19194e+06 214.915 -1.19048e+06
18420800 220.128 -627710 38770.2 42.8117 -64.6461 216.333 -1.19187e+06 217.603 -1.19053e+06
18420900 219.793 -627664 38710.9 69.0422 33.1028 221.23 -1.19194e+06 216.765 -1.19048e+06
18421000 219.654 -627642 38686.5 66.7227 143.657 219.373 -1.19193e+06 219.204 -1.1905e+06
18421100 220.139 -627764 38771.9 90.6189 -51.6861 217.693 -1.1919e+06 218.819 -1.1905e+06
18421200 220.363 -627725 38811.4 27.7516 -98.1032 219.08 -1.19196e+06 218.151 -1.19051e+06
18421300 220.904 -627812 38906.6 1.69739 137.427 220.593 -1.19198e+06 219.089 -1.19051e+06
18421400 220.711 -627824 38872.8 110.998 -39.1654 219.6 -1.19192e+06 221.346 -1.19053e+06
18421500 219.599 -627622 38676.7 -114.738 227.642 219.983 -1.19194e+06 220.354 -1.1905e+06
18421600 220.067 -627683 38759.5 130.986 -60.8773 219.166 -1.1919e+06 219.424 -1.19055e+06
18421700 219.967 -627661 38742.1 -55.8672 54.4507 218.358 -1.19193e+06 221.485 -1.19053e+06
18421800 220.138 -627652 38771.9 59.836 -44.5911 224.677 -1.19198e+06 217.502 -1.19052e+06
18421900 220.382 -627744 38815.5 122.731 -20.0676 218.126 -1.19193e+06 219.23 -1.19048e+06
18422000 220.838 -627828 38895.6 42.1854 -84.0394 218.269 -1.19193e+06 219.868 -1.19049e+06
18422100 220.394 -627742 38817.1 78.0426 -87.3521 219.661 -1.19195e+06 218.976 -1.19049e+06
18422200 220.161 -627709 38775.9 -68.6086 174.076 220.483 -1.19194e+06 220.205 -1.19051e+06
