y, z, Average_Vx, Average_Vy, Average_Vz, AtomCount
41.3658 0.499866 0.000283578 -0.000467705 -0.000582784 14.5509
42.3626 0.499866 -0.000203115 0.000842748 7.61288e-05 12.5439
43.3593 0.499866 0.000492281 -0.000509776 0.000393036 16.558
44.3561 0.499866 0.00186664 -0.00118959 -0.000446802 13.5474
45.3529 0.499866 -0.00119493 1.97905e-07 0.000749807 10.5369
46.3496 0.499866 -0.00056089 9.51473e-05 0.000897838 11.5404
47.3464 0.499866 -0.00072737 -0.000888361 0.000223243 9.03161
48.3432 0.499866 -0.000241623 -0.000190938 0.00043064 9.03161
49.3399 0.499866 0.000314887 0.000284804 -0.000109214 13.5474
50.3367 0.499866 -2.44707e-05 0.000123287 -0.000662994 14.5509
51.3335 0.499866 0.000791908 0.0020407 -0.000852535 11.5404
52.3302 0.499866 0.00019621 -0.000208556 0.00088799 17.0597
53.327 0.499866 -7.8842e-05 0.000339444 1.46136e-05 11.5404
54.3238 0.499866 -0.000278043 0.000699539 -6.2259e-05 10.5369
55.3205 0.499866 -0.00138988 0.000477917 -0.00116571 9.03161
56.3173 0.499866 -0.000314889 -0.000916806 0.000806873 5.51932
57.3141 0.499866 0.000127241 1.71419e-05 0.000589191 12.5439
58.3108 0.499866 0.000172028 0.000167844 -0.000436033 21.5755
59.3076 0.499866 -0.000320041 -0.000351465 -0.00102476 8.0281
60.3044 0.499866 -0.000775947 -0.000309134 -0.00107656 20.0703
61.3011 0.499866 -0.000253248 -0.000332881 -0.000727127 14.0492
62.2979 0.499866 -0.0014953 0.000560113 -0.000353162 7.52634
63.2947 0.499866 -0.000392399 0.000231191 0.000732593 7.52634
64.2914 0.499866 -0.000557748 -0.000812458 0.000195125 9.53337
65.2882 0.499866 -0.000461281 -0.00150102 -0.00180477 13.0457
66.285 0.499866 9.36633e-05 -0.00036232 -0.000477735 24.5861
67.2817 0.499866 -0.00160179 0.00203484 -0.00130793 6.52283
68.2785 0.499866 -0.000896199 -0.000495804 -0.000899677 11.5404
69.2753 0.499866 0.000198826 0.000899986 -0.00048308 18.0632
