binRange along x axis (ANG)	 density (g/L)	 temperature (K)
36.95	985.21	235.714
37.05	998.535	240.067
37.15	1042.67	235.361
37.25	1009.36	234.198
37.35	999.367	231.021
37.45	987.708	239.731
37.55	997.285	242.729
37.65	996.869	232.695
37.75	1008.53	238.442
37.85	1005.61	236.259
37.95	1013.53	237.236
38.05	1014.77	242.721
38.15	1044.76	242.334
38.25	1001.87	235.954
38.35	981.462	231.778
38.45	995.203	231.148
38.55	1000.2	241.024
38.65	1036.43	238.223
38.75	1051	230.221
38.85	1009.78	239.223
38.95	1014.77	237.73
39.05	1000.62	234.692
39.15	977.714	239.916
39.25	1001.03	235.683
39.35	1006.86	237.787
39.45	1032.68	234.328
39.55	1028.1	240.46
39.65	996.453	233.468
39.75	961.058	236.942
39.85	986.042	236.855
39.95	1013.11	232.405
40.05	982.711	232.948
40.15	1037.68	235.081
40.25	986.042	232.356
40.35	978.964	234.009
40.45	1002.28	244.112
40.55	1033.1	234.212
40.65	1016.02	234.132
40.75	1002.7	236.833
40.85	999.367	235.828
40.95	1014.77	239.035
41.05	1023.94	233.846
41.15	1017.69	226.237
41.25	1018.52	236.333
41.35	1018.11	234.764
41.45	999.784	235.598
41.55	1025.18	228.568
41.65	993.538	237.876
41.75	1010.61	234.297
41.85	993.954	231.535
41.95	998.951	234.509
42.05	983.96	232.418
42.15	991.456	233.639
42.25	1028.52	233.833
42.35	1016.86	240.764
42.45	1006.86	242.27
42.55	989.374	234.71
42.65	1011.86	236.803
42.75	987.708	235.043
42.85	992.289	236.21
42.95	1001.87	233.72
43.05	1018.11	236.689
43.15	1033.1	230.559
43.25	1000.62	240.75
43.35	1016.02	238.812
43.45	1011.44	235.069
43.55	1006.86	230.583
43.65	993.538	240.677
43.75	990.207	230.625
43.85	966.888	238.689
43.95	1016.44	239.635
44.05	1011.44	232.549
44.15	990.207	230.45
44.25	994.371	236.991
44.35	1013.94	238.746
44.45	991.872	234.205
44.55	1008.11	231.859
44.65	1028.1	240.24
44.75	1023.52	236.665
44.85	1007.28	240.302
44.95	1001.87	240.6
45.05	1026.43	234.436
45.15	998.951	241.029
45.25	998.118	235.955
45.35	1009.36	232.904
45.45	1018.94	235.139
45.55	996.869	233
45.65	1003.53	235.73
45.75	1008.94	232.304
45.85	1000.62	235.715
45.95	985.21	230.765
46.05	1019.77	233.23
46.15	1007.28	240.759
46.25	1012.28	238.951
46.35	1008.53	241.091
46.45	998.118	234.774
46.55	992.705	237.978
46.65	1006.03	233.089
46.75	1056.41	233.53
46.85	1000.62	236.668
46.95	974.8	238.035
47.05	1003.11	239.649
47.15	1021.02	229.356
47.25	1016.44	233.736
47.35	1005.61	236.779
47.45	1009.78	243.34
47.55	984.793	228.423
47.65	992.705	237.745
47.75	997.285	244.656
47.85	1004.36	230.026
47.95	1027.27	235.297
48.05	1007.28	233.888
48.15	999.367	235.887
48.25	1007.7	231.904
48.35	991.872	235.25
48.45	999.784	233.849
48.55	1002.7	237.632
48.65	976.882	237.447
48.75	995.62	238.24
48.85	992.705	241.009
48.95	1041.42	232.499
49.05	1016.86	231.396
49.15	1003.11	245.559
49.25	1019.77	230.197
49.35	999.367	237.601
49.45	1041.84	236.934
49.55	1038.93	236.584
49.65	1023.94	238.816
49.75	972.301	233.57
49.85	977.298	237.439
49.95	953.147	244.414
50.05	994.787	238.932
50.15	1035.18	240.736
50.25	996.036	240.974
50.35	1007.7	242.864
50.45	996.869	233.883
